date,GBP
2010-11-29,0.844
2010-11-30,0.83765
2010-12-01,0.8393
2010-12-02,0.8445
2010-12-03,0.848
2010-12-06,0.8472
2010-12-07,0.8467
2010-12-08,0.8367
2010-12-09,0.8382
2010-12-10,0.83715
2010-12-13,0.84375
2010-12-14,0.84865
2010-12-15,0.8529
2010-12-16,0.84795
2010-12-17,0.85185
2010-12-20,0.8462
2010-12-21,0.8503
2010-12-22,0.8492
2010-12-23,0.8482
2010-12-24,0.8496
2010-12-27,0.8523
2010-12-28,0.85345
2010-12-29,0.8539
2010-12-30,0.8602
2010-12-31,0.86075
2011-01-03,0.86131
2011-01-04,0.85875
2011-01-05,0.8483
2011-01-06,0.8445
2011-01-07,0.8383
2011-01-10,0.8318
2011-01-11,0.8319
2011-01-12,0.83155
2011-01-13,0.83575
2011-01-14,0.8422
2011-01-17,0.8361
2011-01-18,0.83565
2011-01-19,0.8433
2011-01-20,0.8436
2011-01-21,0.84825
2011-01-24,0.8516
2011-01-25,0.862
2011-01-26,0.86325
2011-01-27,0.85955
2011-01-28,0.8609
2011-01-31,0.8609
2011-02-01,0.8536
2011-02-02,0.8519
2011-02-03,0.84865
2011-02-04,0.8472
2011-02-07,0.8402
2011-02-08,0.8486
2011-02-09,0.85
2011-02-10,0.8478
2011-02-11,0.8457
2011-02-14,0.84
2011-02-15,0.8375
2011-02-16,0.8419
2011-02-17,0.8409
2011-02-18,0.8395
2011-02-21,0.8425
2011-02-22,0.84584
2011-02-23,0.8459
2011-02-24,0.8513
2011-02-25,0.8553
2011-02-28,0.8528
2011-03-01,0.8494
2011-03-02,0.8478
2011-03-03,0.8513
2011-03-04,0.85805
2011-03-07,0.861
2011-03-08,0.8605
2011-03-09,0.859
2011-03-10,0.85655
2011-03-11,0.8612
2011-03-14,0.8659
2011-03-15,0.8674
2011-03-16,0.8673
2011-03-17,0.86745
2011-03-18,0.8738
2011-03-21,0.8717
2011-03-22,0.8678
2011-03-23,0.8699
2011-03-24,0.8741
2011-03-25,0.8778
2011-03-28,0.87825
2011-03-29,0.88145
2011-03-30,0.8789
2011-03-31,0.8837
2011-04-01,0.8815
2011-04-04,0.88095
2011-04-05,0.87285
2011-04-06,0.8775
2011-04-07,0.8759
2011-04-08,0.88095
2011-04-11,0.8836
2011-04-12,0.88845
2011-04-13,0.8898
2011-04-14,0.8825
2011-04-15,0.8838
2011-04-18,0.8775
2011-04-19,0.878
2011-04-20,0.8867
2011-04-21,0.8813
2011-04-26,0.88715
2011-04-27,0.8864
2011-04-28,0.8888
2011-04-29,0.8917
2011-05-02,0.8892
2011-05-03,0.89695
2011-05-04,0.8999
2011-05-05,0.89865
2011-05-06,0.8839
2011-05-09,0.87925
2011-05-10,0.8779
2011-05-11,0.87075
2011-05-12,0.87015
2011-05-13,0.87795
2011-05-16,0.8725
2011-05-17,0.8729
2011-05-18,0.88065
2011-05-19,0.8813
2011-05-20,0.87705
2011-05-23,0.86975
2011-05-24,0.87285
2011-05-25,0.8672
2011-05-26,0.8685
2011-05-27,0.86685
2011-05-30,0.8671
2011-05-31,0.87205
2011-06-01,0.87705
2011-06-02,0.88295
2011-06-03,0.8875
2011-06-06,0.8903
2011-06-07,0.89245
2011-06-08,0.8929
2011-06-09,0.8894
2011-06-10,0.8884
2011-06-13,0.8806
2011-06-14,0.881
2011-06-15,0.8797
2011-06-16,0.8753
2011-06-17,0.8826
2011-06-20,0.8795
2011-06-21,0.8867
2011-06-22,0.8931
2011-06-23,0.8896
2011-06-24,0.88855
2011-06-27,0.8897
2011-06-28,0.8942
2011-06-29,0.8998
2011-06-30,0.90255
2011-07-01,0.905
2011-07-04,0.9015
2011-07-05,0.8984
2011-07-06,0.89485
2011-07-07,0.8921
2011-07-08,0.8932
2011-07-11,0.8807
2011-07-12,0.88265
2011-07-13,0.8823
2011-07-14,0.88095
2011-07-15,0.8775
2011-07-18,0.87315
2011-07-19,0.8789
2011-07-20,0.88065
2011-07-21,0.8787
2011-07-22,0.8827
2011-07-25,0.8825
2011-07-26,0.88235
2011-07-27,0.8831
2011-07-28,0.8739
2011-07-29,0.87485
2011-08-01,0.87955
2011-08-02,0.8718
2011-08-03,0.87255
2011-08-04,0.87145
2011-08-05,0.86905
2011-08-08,0.8691
2011-08-09,0.8731
2011-08-10,0.8843
2011-08-11,0.8757
2011-08-12,0.87635
2011-08-15,0.877
2011-08-16,0.8785
2011-08-17,0.8776
2011-08-18,0.8706
2011-08-19,0.86965
2011-08-22,0.87365
2011-08-23,0.876
2011-08-24,0.8771
2011-08-25,0.8812
2011-08-26,0.88565
2011-08-29,0.8846
2011-08-30,0.88365
2011-08-31,0.8856
2011-09-01,0.8812
2011-09-02,0.8789
2011-09-05,0.8751
2011-09-06,0.8771
2011-09-07,0.878
